present-HL;present-LL;absent;AnyOnHighP-HL;AnyOnHighP-LL;AnyOnlowP;highP-HL;highPOther-HL;lowP-HL;highP-LL;highPOther-LL;lowP-LL;Distance0-HL;Distance1-HL;Distance2-HL;Distance3-HL;Distance4-HL;Distance0-LL;Distance1-LL;Distance2-LL;Distance3-LL;Distance4-LL;highP-HL-swap;highPOther-HL-swap;lowP-HL-swap;highP-LL-swap;highPOther-LL-swap;lowP-LL-swap;swap;same
12,60416667;13,02083333;13,28125;13,14102564;12,74038462;13,71527778;11,69871795;12,5;14,58333333;12,98076923;14,58333333;12,84722222;11,69871795;13,54166667;14,58333333;15,625;12,5;12,98076923;11,45833333;16,66666667;10,41666667;14,58333333;14,87889273;13,04347826;15,10791367;12,54480287;15,2173913;13,21428571;10,82621083;13,95730706
8,958333333;12,29166667;10,9375;9,695512821;11,21794872;10,9375;8,974358974;10,41666667;8,680555556;12,01923077;10,41666667;13,19444444;8,974358974;9,375;5,208333333;11,45833333;10,41666667;12,01923077;10,41666667;12,5;16,66666667;10,41666667;9,027777778;10,63829787;8,896797153;11,14864865;10,86956522;13,45454545;10,62590975;10,62449311
10,10416667;7,916666667;5,208333333;9,134615385;5,849358974;10,06944444;9,935897436;4,166666667;11,45833333;7,532051282;8,333333333;8,680555556;9,935897436;9,375;10,41666667;14,58333333;4,166666667;7,532051282;7,291666667;10,41666667;8,333333333;8,333333333;10;4,347826087;11,27272727;7,457627119;8,510638298;8,664259928;8,84057971;9,105691057
3,4375;2,815432742;3,125;1,282051282;4,647435897;3,824283779;2,564102564;6,25;4,861111111;3,044871795;0;2,787456446;2,564102564;3,125;5,208333333;6,25;6,25;3,044871795;3,125;2,083333333;3,157894737;0;2,973977695;6,382978723;5,017921147;3,214285714;0;2,867383513;2,510460251;3,494176373
26,25;25,41666667;23,17708333;27,40384615;23,55769231;27,77777778;25,64102564;22,91666667;28,125;24,19871795;29,16666667;27,43055556;25,64102564;29,16666667;26,04166667;29,16666667;22,91666667;24,19871795;27,08333333;27,08333333;28,125;29,16666667;25,63176895;23,91304348;28,62318841;25,08710801;27,65957447;28,10218978;24,26367461;26,76056338
11,14583333;11,5625;9,375;9,53525641;6,41025641;13,71527778;10,73717949;2,083333333;13,54166667;10,73717949;8,333333333;13,88888889;10,73717949;12,5;16,66666667;11,45833333;2,083333333;10,73717949;15,625;13,54166667;12,5;8,333333333;10,86142322;2,083333333;13,4057971;12,35521236;8,510638298;13,62007168;10,34946237;11,98979592
3,333333333;3,229166667;4,6875;2,804487179;3,605769231;3,298611111;3,525641026;4,166666667;2,777777778;3,044871795;2,083333333;3,819444444;3,525641026;2,083333333;3,125;3,125;4,166666667;3,044871795;3,125;6,25;2,083333333;2,083333333;3,180212014;4,255319149;2,919708029;2,666666667;2,083333333;3,914590747;3,493449782;3,163017032
19,79166667;15,10416667;16,66666667;18,83012821;16,26602564;19,61805556;18,91025641;18,75;21,875;13,78205128;18,75;17,36111111;18,91025641;15,625;23,95833333;26,04166667;18,75;13,78205128;16,66666667;18,75;16,66666667;18,75;17,98561151;19,14893617;22,58064516;10,88435374;17,39130435;17,26618705;17,90830946;17,18494272
15,3125;12,70833333;8,333333333;13,70192308;15,46474359;16,84027778;14,90384615;20,83333333;15,27777778;10,09615385;12,5;18,40277778;14,90384615;16,66666667;15,625;13,54166667;20,83333333;10,09615385;17,70833333;18,75;18,75;12,5;13,89830508;19,14893617;15,4676259;12,09964413;13,04347826;18,63799283;12,1037464;15,08972268
19,375;17,93534932;15,625;17,9657665;19,39102564;21,18055556;18,91025641;22,91666667;19,79166667;15,86538462;17,0212766;22,56944444;18,91025641;19,79166667;22,91666667;16,66666667;22,91666667;15,86538462;28,125;19,79166667;19,79166667;17,0212766;19,41391941;21,27659574;20,28985507;15,6462585;15,55555556;22,41992883;17,49644381;19,32565789
