present-HL;present-LL;absent;AnyOnHighP-HL;AnyOnHighP-LL;AnyOnlowP;highP-HL;highPOther-HL;lowP-HL;highP-LL;highPOther-LL;lowP-LL;Distance0-HL;Distance1-HL;Distance2-HL;Distance3-HL;Distance4-HL;Distance0-LL;Distance1-LL;Distance2-LL;Distance3-LL;Distance4-LL;highP-HL-swap;highPOther-HL-swap;lowP-HL-swap;highP-LL-swap;highPOther-LL-swap;lowP-LL-swap;swap;same
902,5011781;903,8421054;888,5095203;883,2514708;906,4473001;910,4706556;898,0857541;908,9532468;911,0067823;903,9413534;868,4171876;909,9345289;898,0857541;868,7861454;920,5107447;942,0681179;908,9532468;903,9413534;922,7851679;902,6964952;904,5293756;868,4171876;901,4278667;910,8159272;914,2463327;901,7078693;874,2557798;909,9648678;898,9078718;905,6079758
644,7926342;634,4618126;613,1878875;626,6085363;631,0160197;675,460466;625,0862458;638,7128055;690,2834502;623,319234;628,1308267;660,6374818;625,0862458;682,6198281;658,4621119;732,0546899;638,7128055;623,319234;660,9226044;631,9962225;691,8185401;628,1308267;637,668127;642,3751821;692,6161789;636,4793182;630,2230089;656,9726277;615,0134464;653,5927684
617,260113;617,0464733;615,7137224;614,4341993;613,1120391;629,5677883;608,6433396;611,8153566;636,9850697;614,4087216;620,225059;622,1505068;608,6433396;637,5062931;649,6232757;622,9360666;611,8153566;614,4087216;599,1351555;653,0049351;613,2165456;620,225059;609,4545473;613,8314079;638,7974495;616,8187272;616,3276764;619,103018;611,3705245;620,6152641
815,2353126;828,6987832;803,8994971;802,5334123;840,4369286;841,0848633;795,9167296;851,5520716;851,4417429;829,3217855;809,150095;830,7279837;795,9167296;827,1376938;814,8426848;913,3131132;851,5520716;829,3217855;794,5429689;837,6856657;859,7971875;809,150095;807,3138365;844,4121472;852,4559922;820,6311972;816,840248;832,732368;810,6197283;828,3189042
887,0150713;849,7318693;820,8329727;872,3329718;878,6041287;890,0520619;873,1336194;917,0333588;912,5489928;840,1748987;871,5323242;867,555131;873,1336194;940,8043142;897,3716051;898,0197243;917,0333588;840,1748987;877,3316289;853,1771968;873,1079837;871,5323242;878,7155966;912,9930502;914,1004425;852,6054057;875,082231;863,3077605;851,6980296;877,5774581
717,0715138;697,9872975;688,1423205;692,7474422;720,2987927;724,962846;704,3942961;746,3263227;740,2065203;694,2712626;681,1005882;709,7191716;704,3942961;741,0544346;745,505209;734,0728334;746,3263227;694,2712626;717,3373985;690,3591707;724,4175479;681,1005882;709,1203087;754,5049984;744,3240689;699,003197;682,64449;707,9815278;694,8694908;715,4572865
702,0859977;700,1628821;664,0458637;680,5225526;691,4576435;716,6920349;697,5299978;688,8318227;714,2681585;694,0834642;663,5151074;719,1159114;697,5299978;686,6301471;745,5453716;711,6777061;688,8318227;694,0834642;735,4254208;741,514109;680,0730645;663,5151074;715,6445959;679,1248011;717,5517758;688,7624446;663,5151074;716,0098161;692,410087;706,2459258
850,3122793;800,3717011;780,0318994;810,0700599;841,5891358;853,7983382;827,5424874;887,1077287;895,9017824;796,0705429;792,5976325;811,6948939;827,5424874;887,2145613;901,083394;899,051781;887,1077287;796,0705429;791,9941085;828,9261434;812,4932984;792,5976325;836,3455172;894,172466;901,7543872;793,5038949;800,1893339;816,9586677;805,333349;836,3863163
760,0175276;759,5805093;724,486587;748,6698279;804,2928687;771,3295005;740,3349308;845,7131356;789,6851975;762,8726018;757,0047251;752,9738035;740,3349308;807,3985081;807,48;755,8893005;845,7131356;762,8726018;744,1504838;774,5119688;741,0281782;757,0047251;741,6699487;845,7131356;789,4745369;777,9011189;767,5258594;754,0100398;745,0296654;768,5075594
961,5392643;970,9769537;913,3814203;945,2204328;944,335269;1001,778052;939,9416094;924,5834464;1013,720336;964,0870917;950,4992562;989,8357674;939,9416094;1003,745188;1045,221529;990,6933447;924,5834464;964,0870917;936,3947922;980,7581896;1051,83262;950,4992562;918,4885723;924,5834464;1013,043257;965,9541758;958,8406179;992,0332147;960,3117131;969,7076347
